# Rocket Chip oMCT glance replay — Estes Big Daddy F15-6
# Trajectory: openrocket_export/big_daddy_f15_6_nominal.csv
# Phase windows: armed<0.5 boost_end=3.38s apogee=8.78s peak=409.7m chute=13.58s main=81.94s land=110.41s
# flight_state matches FlightPhase: 1=ARMED 2=BOOST 3=COAST 4=DROGUE_DESCENT 5=MAIN_DESCENT 6=LANDED
# Synthesized: flight_state, health, batt_v, temp_c, rssi/snr/lq/rx_* ; trajectory from OR + light noise
timestamp,met_ms,seq,flight_state,flight_state_name,alt_m,max_alt_m,vvel_mps,speed_mps,baro_alt_m,lat,lon,gps_sats,health,batt_v,temp_c,rssi_dbm,snr_db,lq_pct,rx_hz,rx_desired_hz
2026-09-05T17:00:00.000Z,0,0,1,ARMED,-0.02,0.0,-0.01,0.0,-0.27,32.95,-96.75,10,85,3.951,22,-55,8.6,100,9.84,10.0
2026-09-05T17:00:00.100Z,100,1,1,ARMED,0.07,0.0,0.24,0.28,-0.13,32.95,-96.75,10,85,3.953,22,-56,9.0,100,9.69,10.0
2026-09-05T17:00:00.200Z,200,2,1,ARMED,-0.12,0.11,2.16,2.22,0.02,32.95,-96.75,10,85,3.953,22,-59,9.4,100,9.91,10.0
2026-09-05T17:00:00.300Z,300,3,1,ARMED,0.64,0.52,6.43,6.41,0.39,32.95,-96.75,10,85,3.943,22,-54,9.6,100,9.99,10.0
2026-09-05T17:00:00.400Z,400,4,1,ARMED,1.34,1.48,13.17,13.13,1.5,32.95,-96.75,10,85,3.949,22,-54,9.1,100,9.63,10.0
2026-09-05T17:00:00.500Z,500,5,2,BOOST,3.23,3.22,21.2,21.22,3.46,32.95,-96.75,10,85,3.951,22,-62,7.4,100,9.88,10.0
2026-09-05T17:00:00.600Z,600,6,2,BOOST,5.66,5.68,27.85,27.88,6.11,32.95,-96.75,10,85,3.95,22,-64,7.6,100,9.88,10.0
2026-09-05T17:00:00.700Z,700,7,2,BOOST,8.79,8.76,33.72,33.68,8.92,32.95,-96.75,10,85,3.954,22,-66,7.1,100,9.98,10.0
2026-09-05T17:00:00.800Z,800,8,2,BOOST,12.49,12.4,38.91,38.95,12.64,32.95,-96.75,10,85,3.954,22,-59,7.3,100,9.82,10.0
2026-09-05T17:00:00.900Z,900,9,2,BOOST,16.52,16.54,43.89,43.91,16.53,32.95,-96.75,10,85,3.952,22,-60,7.3,100,9.94,10.0
2026-09-05T17:00:01.000Z,1000,10,2,BOOST,21.2,21.15,48.41,48.43,21.23,32.95,-96.75,10,85,3.945,22,-60,7.7,100,9.82,10.0
2026-09-05T17:00:01.100Z,1100,11,2,BOOST,26.41,26.2,52.64,52.68,26.34,32.95,-96.75,10,85,3.946,22,-65,7.8,100,9.77,10.0
2026-09-05T17:00:01.200Z,1200,12,2,BOOST,31.31,31.67,56.72,56.74,31.49,32.95,-96.75,10,85,3.95,22,-62,8.3,100,9.94,10.0
2026-09-05T17:00:01.300Z,1300,13,2,BOOST,37.43,37.53,60.47,60.47,37.43,32.95,-96.75,10,85,3.941,22,-61,7.9,100,9.73,10.0
2026-09-05T17:00:01.400Z,1400,14,2,BOOST,44.1,43.76,64.06,64.12,44.25,32.95,-96.75,10,85,3.95,22,-62,7.1,100,9.93,10.0
2026-09-05T17:00:01.500Z,1500,15,2,BOOST,50.52,50.34,67.61,67.63,50.93,32.95,-96.75,10,85,3.943,22,-64,6.9,100,9.77,10.0
2026-09-05T17:00:01.600Z,1600,16,2,BOOST,57.31,57.27,70.97,70.98,57.62,32.95,-96.75,10,85,3.943,22,-63,7.8,100,9.78,10.0
2026-09-05T17:00:01.700Z,1700,17,2,BOOST,64.52,64.52,74.01,74.06,64.64,32.95,-96.75,10,85,3.95,22,-66,7.6,100,9.69,10.0
2026-09-05T17:00:01.800Z,1800,18,2,BOOST,72.31,72.06,76.83,76.96,72.23,32.95,-96.75,10,85,3.948,22,-65,7.5,100,9.95,10.0
2026-09-05T17:00:01.900Z,1900,19,2,BOOST,79.79,79.88,79.55,79.61,79.87,32.95,-96.75,10,85,3.95,22,-59,8.0,100,9.79,10.0
2026-09-05T17:00:02.000Z,2000,20,2,BOOST,87.94,87.97,81.97,82.07,88.02,32.95,-96.75,10,85,3.948,22,-65,6.8,100,9.81,10.0
2026-09-05T17:00:02.100Z,2100,21,2,BOOST,96.35,96.29,84.36,84.38,96.15,32.95,-96.75,10,85,3.954,22,-59,7.1,100,9.62,10.0
2026-09-05T17:00:02.200Z,2200,22,2,BOOST,105.11,104.83,86.47,86.5,105.13,32.95,-96.75,10,85,3.951,22,-65,8.2,100,9.76,10.0
2026-09-05T17:00:02.300Z,2300,23,2,BOOST,113.71,113.58,88.44,88.54,113.95,32.95,-96.75,10,85,3.95,22,-60,7.1,100,10.0,10.0
2026-09-05T17:00:02.400Z,2400,24,2,BOOST,122.29,122.52,90.19,90.22,122.22,32.95,-96.75,10,85,3.949,22,-64,7.0,100,9.73,10.0
2026-09-05T17:00:02.500Z,2500,25,2,BOOST,131.78,131.62,91.85,91.86,132.03,32.95,-96.75,10,85,3.951,22,-58,7.0,100,9.87,10.0
2026-09-05T17:00:02.600Z,2600,26,2,BOOST,140.88,140.88,93.3,93.31,140.67,32.95,-96.75,10,85,3.951,22,-63,7.6,100,9.73,10.0
2026-09-05T17:00:02.700Z,2700,27,2,BOOST,150.25,150.27,94.62,94.56,150.42,32.95,-96.75,10,85,3.943,22,-61,7.1,100,9.9,10.0
2026-09-05T17:00:02.800Z,2800,28,2,BOOST,159.93,159.78,95.68,95.75,159.76,32.95,-96.75,10,85,3.95,22,-65,6.8,100,9.95,10.0
2026-09-05T17:00:02.900Z,2900,29,2,BOOST,169.34,169.4,96.69,96.67,169.32,32.95,-96.75,10,85,3.938,22,-58,7.8,100,9.93,10.0
2026-09-05T17:00:03.000Z,3000,30,2,BOOST,179.04,179.11,97.68,97.63,179.18,32.95,-96.75,10,85,3.955,22,-64,7.1,100,9.68,10.0
2026-09-05T17:00:03.100Z,3100,31,2,BOOST,188.79,188.91,98.55,98.55,188.88,32.95,-96.75,10,85,3.949,22,-62,7.5,100,9.93,10.0
2026-09-05T17:00:03.200Z,3200,32,2,BOOST,198.93,198.8,99.29,99.32,198.87,32.95,-96.75,10,85,3.948,22,-64,7.7,100,9.6,10.0
2026-09-05T17:00:03.300Z,3300,33,2,BOOST,209.05,208.77,100.0,99.97,209.13,32.95,-96.75,10,85,3.952,22,-64,7.6,100,9.72,10.0
